Date,Africa,Asia,Europe,Hawaii*,Japan*,North America,Oceania,South America
2019-09-14 09:06:04.786865,100,45,18,711,522,250,617,531
2019-09-14 19:07:41.519844,72,45,16,711,522,241,617,528
2019-09-14 23:04:04.089091,73,45,16,700,492,236,617,528
2019-09-15 10:22:31.536206,84,45,18,700,528,251,617,530
2019-09-15 22:26:56.023868,70,45,18,700,492,225,594,510
2019-09-16 09:45:04.310112,61,40,13,731,524,227,597,537
2019-09-16 11:43:00.599379,61,40,14,731,520,229,597,537
2019-09-16 17:59:54.590143,61,40,19,598,520,221,593,531
2019-09-16 20:21:11.224187,61,40,12,598,520,221,572,531
